sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,sensor26,sensor27,sensor28,sensor29,sensor30,sensor31,sensor32,sensor33,sensor34,sensor35,sensor36,sensor37,sensor38,sensor39,sensor40,sensor41,sensor42,sensor43,sensor44,sensor45,sensor46,sensor47,sensor48,sensor49,sensor50,sensor51,sensor52,sensor53,sensor54,sensor55,sensor56,sensor57,sensor58,sensor59,sensor60,sensor61,sensor62,sensor63,sensor64,sensor65,sensor66,sensor67,sensor68,sensor69,sensor70,sensor71,sensor72,sensor73,sensor74,sensor75,sensor76,sensor77,sensor78,sensor79,sensor80,time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
0.4013506,0.4906242,0.5479413,0.5056319,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3946813,0.4503076,0.4106449,0.477818,0.5388048,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.381871,0.3322048,0.3890152,0.4465871,0.4975913,0.5440496,0.6169727,0.5908623,0.5520584,0.5092119,0.3677882,0.3135151,0.3638055,0.4136475,0.4549735,0.4811499,0.5818953,0.5609069,0.5283931,0.4909115,0.3497633,0.298575,0.3378036,0.3797623,0.4134873,0.4337148,0.5484444,0.5316289,0.5030766,0.473784,0.3291509,0.278953,0.3123957,0.3479813,0.3749748,0.392415,0.5174513,0.5012925,0.4820631,0.4533844,0.3077678,0.3023426,0.2867604,0.3160836,0.3391758,0.3542513,0.4870071,0.4774182,0.4596313,0.282862,0.2914083,0.2849345,0.2684984,0.2939526,0.3127238,0.3233012,0.4686598,0.4566996,0.4427316,0.2612795,0.3733333
0.4013506,0.4906242,0.5479413,0.5056319,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3946813,0.4354664,0.4106449,0.477818,0.5388048,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.381871,0.3322048,0.3890152,0.4465871,0.4975913,0.5815478,0.6169727,0.5908623,0.5520584,0.5092119,0.3677882,0.3135151,0.3638055,0.4136475,0.4549735,0.493958,0.5818953,0.5609069,0.5283931,0.4909115,0.3497633,0.2985058,0.3378036,0.3797623,0.4134873,0.4944988,0.5484444,0.5316289,0.5030766,0.473784,0.3291509,0.278953,0.3123957,0.3479813,0.3749748,0.4511871,0.5174513,0.5012925,0.4820631,0.4533844,0.3077678,0.3023426,0.2867604,0.3160836,0.3391758,0.3760424,0.4870071,0.4774182,0.4596313,0.282862,0.2914083,0.2849345,0.2684984,0.2939526,0.3127238,0.3254613,0.4686598,0.4566996,0.4427316,0.2612795,0.7066667
0.4013506,0.4906242,0.5479413,0.5056319,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3946813,0.4503076,0.4106449,0.477818,0.5388048,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.381871,0.3322048,0.3890152,0.4465871,0.4975913,0.5976272,0.6169727,0.5908623,0.5520584,0.5092119,0.3677882,0.3135151,0.3638055,0.4136475,0.4549735,0.5455726,0.5818953,0.5609069,0.5283931,0.4909115,0.3497633,0.297044,0.3378036,0.3797623,0.4134873,0.4944988,0.5484444,0.5316289,0.5030766,0.473784,0.3291509,0.278953,0.3123957,0.3479813,0.3749748,0.4511871,0.5174513,0.5012925,0.4820631,0.4533844,0.3077678,0.2995664,0.2867604,0.3160836,0.3391758,0.4102839,0.4870071,0.4774182,0.4596313,0.282862,0.2914083,0.2849345,0.2684984,0.2939526,0.313368,0.3792286,0.4686598,0.4566996,0.4427316,0.2612795,1.04
0.4013506,0.4906242,0.5479413,0.506069,0.5782368,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3946813,0.4783228,0.5335578,0.4915705,0.5429424,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.381871,0.4611843,0.408477,0.4465871,0.5163117,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.3677882,0.3686922,0.3638055,0.4136475,0.4549735,0.497161,0.5818953,0.5609069,0.5283931,0.4909115,0.3497633,0.298575,0.3378036,0.3797623,0.4134873,0.4337148,0.5484444,0.5316289,0.5030766,0.473784,0.3291509,0.27494,0.3123957,0.3479813,0.3749748,0.392415,0.5174513,0.5012925,0.4820631,0.4533844,0.3077678,0.254187,0.2867604,0.3160836,0.3399724,0.3542513,0.4870071,0.4774182,0.4596313,0.282862,0.2914083,0.2398341,0.2684984,0.2939526,0.3219658,0.3254613,0.4686598,0.4566996,0.4427316,0.2612795,1.373333
0.4013506,0.4906242,0.5479413,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3946813,0.4783228,0.5335578,0.583361,0.6285489,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.381871,0.4611843,0.5174453,0.5604185,0.598058,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.3677882,0.4415031,0.4987009,0.5357956,0.5663875,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.3497633,0.4191873,0.4796169,0.5107836,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.3291509,0.3939538,0.4503692,0.4749942,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.3077678,0.3663115,0.4127863,0.340354,0.3438093,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2914083,0.3452515,0.2684984,0.2939526,0.3127238,0.3554254,0.4686598,0.4566996,0.4427316,0.2612795,1.706667
0.4013506,0.4906242,0.5479413,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3946813,0.4783228,0.5335578,0.583361,0.6285489,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.381871,0.4611843,0.5174453,0.5604185,0.598058,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.3677882,0.4415031,0.4987009,0.4742321,0.5663875,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.3497633,0.4191873,0.4796169,0.3797623,0.4977726,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.3291509,0.3939538,0.4503692,0.3739089,0.4336331,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.3077678,0.3663115,0.4110267,0.3180451,0.4024205,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2914083,0.3410417,0.2684984,0.2939526,0.3127238,0.3270058,0.4686598,0.4566996,0.4427316,0.2612795,2.04
0.4013506,0.4906242,0.4301991,0.5056319,0.5779428,0.6905051,0.6221095,0.6467237,0.5921494,0.5372179,0.3946813,0.4783228,0.4106449,0.477818,0.5388048,0.6563773,0.5717152,0.6204446,0.5732527,0.5245737,0.381871,0.4611843,0.3890152,0.4465871,0.4975913,0.6195737,0.5231501,0.5908623,0.5520584,0.5092119,0.3677882,0.4415031,0.3638055,0.4136475,0.4549735,0.5837117,0.4758098,0.5609069,0.5283931,0.4909115,0.3497633,0.4191873,0.3378036,0.3797623,0.4134873,0.5487372,0.4542858,0.5316289,0.5030766,0.473784,0.3291509,0.3939538,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.3077678,0.3663115,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2914083,0.3452515,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,2.373333
0.4013506,0.4906242,0.431954,0.5056319,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3946813,0.3677261,0.4106449,0.477818,0.5388048,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.3185138,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.3873469,0.3378036,0.3797623,0.4134873,0.5226576,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.3939538,0.3123957,0.3479813,0.3749748,0.4121202,0.5174513,0.5012925,0.4820631,0.4533844,0.2932591,0.3663115,0.2867604,0.3160836,0.3391758,0.3520108,0.4870071,0.4774182,0.4596313,0.282862,0.2914083,0.3452515,0.2684984,0.2939526,0.3127238,0.3233012,0.4686598,0.4566996,0.4427316,0.2612795,2.706667
0.4013506,0.4906242,0.4486549,0.5056319,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3946813,0.3486107,0.4106449,0.477818,0.5667309,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.3495796,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684973,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.3455989,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.3898375,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.3663115,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.3452515,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,3.04
0.4013506,0.4882939,0.4301991,0.5638554,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3539182,0.3486107,0.4106449,0.477818,0.574525,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.2771452,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.2582013,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.280212,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,3.373333
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232713,0.3486107,0.4106449,0.477818,0.6257476,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3812661,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3486069,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2428834,0.2684984,0.2939526,0.3134416,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,3.706666
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254187,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,4.04
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,4.373333
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,4.706667
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,5.04
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,5.373334
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,5.706667
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,6.040001
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,6.373334
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,6.706668
0.4013506,0.4845647,0.4301991,0.6039169,0.65761,0.6905051,0.6864812,0.6467237,0.5921494,0.5372179,0.3232332,0.3486107,0.4106449,0.477818,0.5628454,0.6563773,0.6530342,0.6204446,0.5732527,0.5245737,0.2807214,0.3322048,0.3890152,0.4465871,0.4975913,0.6195737,0.6169727,0.5908623,0.5520584,0.5092119,0.2684836,0.3135151,0.3638055,0.4136475,0.4549735,0.5837117,0.5818953,0.5609069,0.5283931,0.4909115,0.2539601,0.2945756,0.3378036,0.3797623,0.4134873,0.5487372,0.5484444,0.5316289,0.5030766,0.473784,0.2376642,0.27494,0.3123957,0.3479813,0.3749748,0.5183116,0.5174513,0.5012925,0.4820631,0.4533844,0.2220689,0.254673,0.2867604,0.3160836,0.3391758,0.4902494,0.4870071,0.4774182,0.4596313,0.282862,0.2110389,0.2408364,0.2684984,0.2939526,0.3127238,0.468778,0.4686598,0.4566996,0.4427316,0.2612795,7.040001
