sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,label
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5123188,0.4538585,0.4107424,0.464825,0
0.5112211,0.5624088,0.5557711,0.5857512,0.6016247,0.3917904,0.3951821,0.4538585,0.4203093,0.464825,0
0.5112211,0.5624088,0.5557711,0.5857512,0.6016247,0.3917904,0.3952982,0.4538585,0.4107424,0.464825,0
0.5112211,0.5624088,0.5557711,0.5857512,0.6016247,0.3917904,0.4934998,0.4538585,0.5336033,0.3195091,0
0.5112211,0.5624088,0.5770409,0.60066,0.6016247,0.3917904,0.4222007,0.4538585,0.4109573,0.464825,0
0.5112211,0.5624088,0.5557711,0.5857512,0.6016247,0.3917904,0.5221639,0.4538585,0.5336033,0.3192431,0
0.5112211,0.5624088,0.5557711,0.5857512,0.6016247,0.3917904,0.4291038,0.4538585,0.5336033,0.464825,0
0.5112211,0.5624088,0.5557711,0.5857512,0.6016247,0.3917904,0.3951821,0.4538585,0.5330604,0.3179054,0
0.5112211,0.5624088,0.5557711,0.5857512,0.6016247,0.3917904,0.3951821,0.4538585,0.4959408,0.3439732,0
0.5112211,0.5624088,0.5557711,0.5857512,0.6016247,0.3917904,0.3952982,0.4538585,0.5336033,0.3179054,0
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.4538585,0.5336033,0.464825,1
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.4540264,0.5336033,0.464825,1
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.5657632,0.5336033,0.464825,1
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.4902371,0.5336033,0.464825,1
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.4538585,0.5336033,0.464825,1
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.5011751,0.5336033,0.464825,1
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.5657632,0.5336033,0.464825,1
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.4902371,0.5336033,0.464825,1
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.5657632,0.5336033,0.464825,1
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.5657632,0.5336033,0.464825,1
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3837829,0.5221639,0.4840775,0.5336033,0.464825,2
0.5112211,0.5624088,0.5568191,0.6633849,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,2
0.5112211,0.4527633,0.5557711,0.6633849,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,2
0.5112211,0.5338304,0.6411703,0.6633849,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,2
0.5112211,0.5480329,0.5568191,0.6633849,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,2
0.5112211,0.5624088,0.5557711,0.6633849,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,2
0.5112211,0.5624088,0.5595059,0.6633849,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,2
0.5112211,0.4492921,0.5557711,0.6633849,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,2
0.5112211,0.4943435,0.5557711,0.6633849,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,2
0.5112211,0.533995,0.5770409,0.6633849,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,2
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.3179054,3
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.3179054,3
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.4609842,0.4107424,0.3179054,3
0.5112211,0.5624088,0.5571464,0.6633849,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.3179054,3
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.3179054,3
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.3179054,3
0.5112211,0.5624088,0.6411808,0.6042387,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.3179054,3
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.3179054,3
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.3179054,3
0.5112211,0.5624088,0.6411808,0.6633849,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.3179054,3
0.5112211,0.5624088,0.5568191,0.5857512,0.6016247,0.3917904,0.4742478,0.4538585,0.4107424,0.464825,4
0.5112211,0.5624088,0.5557711,0.5857512,0.6016247,0.3917904,0.3988645,0.4538585,0.4107424,0.464825,4
0.5112211,0.5624088,0.5568191,0.5857512,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.464825,4
0.5112211,0.5624088,0.5557711,0.5857512,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.4627815,4
0.4351045,0.5201176,0.5568191,0.5857512,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.464825,4
0.4457013,0.5339265,0.5557711,0.5857512,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.464825,4
0.4068853,0.4492921,0.5557711,0.5857512,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.464825,4
0.5112211,0.5624088,0.5557711,0.5857512,0.6016247,0.3917904,0.3951821,0.4538585,0.4107424,0.464825,4
0.5112211,0.4609681,0.5595059,0.5857512,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.464825,4
0.5112211,0.5480329,0.5557711,0.5857512,0.6016247,0.3917904,0.5221639,0.4538585,0.4107424,0.464825,4
0.5112211,0.5624088,0.5557711,0.5903671,0.5257667,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,5
0.5112211,0.5624088,0.5557711,0.6263078,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,5
0.5112211,0.5624088,0.5557711,0.6041391,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,5
0.5112211,0.5624088,0.5557711,0.5903671,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,5
0.5112211,0.5624088,0.5557711,0.6041391,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,5
0.5112211,0.5624088,0.5557711,0.6041391,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,5
0.5112211,0.5624088,0.5557711,0.6041391,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,5
0.5112211,0.5624088,0.5557711,0.6005591,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,5
0.5112211,0.5624088,0.5557711,0.6041391,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,5
0.5112211,0.5624088,0.5557711,0.6263078,0.6016247,0.3917904,0.3951821,0.4538585,0.5336033,0.464825,5
