sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,label
0.5611262,0.6783824,0.6746193,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,0
0.5611262,0.6058791,0.6009262,0.4795125,0.581987,0.5586056,0.3171485,0.5517961,0.4891712,0.4811243,0.4298583,0
0.5611262,0.6058791,0.603155,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.351955,0
0.5611262,0.6622783,0.6269409,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.3643915,0
0.5611262,0.6783824,0.6746193,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.351955,0
0.5611262,0.6105163,0.6687532,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.351955,0
0.5611262,0.6783824,0.6148581,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.351955,0
0.5611262,0.6058791,0.6009262,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.3526082,0
0.5611262,0.6058791,0.6009262,0.5303553,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.351955,0
0.5611262,0.6783824,0.603155,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.351955,0
0.5611262,0.6783824,0.6746193,0.5846218,0.581987,0.5586056,0.4556594,0.5517961,0.5917541,0.4827006,0.4065236,1
0.5611262,0.6783824,0.6746193,0.5846218,0.581987,0.5586056,0.4556594,0.5517961,0.5917541,0.4850253,0.4901936,1
0.5611262,0.6783824,0.6746193,0.5846218,0.581987,0.5586056,0.4556594,0.5517961,0.5917541,0.4811243,0.4901936,1
0.5611262,0.6783824,0.6746193,0.5846218,0.581987,0.5586056,0.4556594,0.5517961,0.5917541,0.4840016,0.3612605,1
0.5611262,0.6783824,0.6746193,0.5846218,0.581987,0.5586056,0.4556594,0.5517961,0.5917541,0.5410875,0.3526082,1
0.5611262,0.6783824,0.6746193,0.5846218,0.581987,0.5586056,0.4556594,0.5517961,0.5917541,0.4850253,0.4901936,1
0.5611262,0.6783824,0.6746193,0.5846218,0.581987,0.5586056,0.4556594,0.5517961,0.5917541,0.4811243,0.4901936,1
0.5611262,0.6783824,0.6009262,0.5846218,0.581987,0.5586056,0.4556594,0.5517961,0.4891712,0.4811243,0.351955,1
0.5611262,0.6783824,0.6746193,0.5846218,0.581987,0.5586056,0.4556594,0.5517961,0.5917541,0.4811243,0.4901936,1
0.5611262,0.6783824,0.6746193,0.5846218,0.581987,0.5586056,0.4556594,0.5517961,0.5917541,0.4811243,0.4901936,1
0.4479042,0.6058791,0.6009262,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.453556,2
0.4479042,0.6058791,0.6009262,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.351955,2
0.44826,0.6058791,0.6009262,0.5846218,0.581987,0.4846371,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,2
0.4479042,0.6058791,0.6009262,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4033944,2
0.4479042,0.6058791,0.6009262,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.3579537,2
0.4479042,0.6058791,0.6009262,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.351955,2
0.4479042,0.6058791,0.6009262,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.3574225,2
0.4479042,0.6058791,0.6009262,0.5846218,0.581987,0.5150222,0.4556594,0.437049,0.4891712,0.4811243,0.3642845,2
0.4479042,0.6058791,0.6009262,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.3642845,2
0.4479042,0.6058791,0.6009262,0.5846218,0.581987,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.351955,2
0.5611262,0.6219302,0.6009262,0.4795125,0.581987,0.5586056,0.4556594,0.5517961,0.4891712,0.4811243,0.351955,3
0.5611262,0.6058791,0.6009262,0.4795125,0.4993764,0.5586056,0.4556594,0.4796258,0.4891712,0.4811243,0.351955,3
0.5611262,0.6783824,0.6009262,0.4795125,0.581987,0.5586056,0.4556594,0.5517961,0.4891712,0.4811243,0.3549151,3
0.5611262,0.6058791,0.6009262,0.4798486,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.411991,3
0.5611262,0.6783824,0.6009262,0.4795125,0.581987,0.5586056,0.4556594,0.5517961,0.4891712,0.4811243,0.351955,3
0.5611262,0.6576512,0.6009262,0.4795125,0.581987,0.5586056,0.4556594,0.5517961,0.4891712,0.4811243,0.351955,3
0.5611262,0.6576512,0.6009262,0.4795125,0.581987,0.5586056,0.4556594,0.5227789,0.4891712,0.4811243,0.351955,3
0.5611262,0.6783824,0.6009262,0.4795125,0.581987,0.5586056,0.4556594,0.5517961,0.4891712,0.4811243,0.351955,3
0.5611262,0.6186438,0.6009262,0.4795125,0.581987,0.5586056,0.4556594,0.4615894,0.4891712,0.4811243,0.351955,3
0.5611262,0.6058791,0.6009262,0.4795125,0.581987,0.5586056,0.4556594,0.4377086,0.4891712,0.4811243,0.36581,3
0.4479042,0.6058791,0.6009262,0.4795125,0.581987,0.5586056,0.4556594,0.5517961,0.4891712,0.4811243,0.3652806,4
0.4479042,0.6058791,0.6009262,0.4795125,0.581987,0.5586056,0.4556594,0.5517961,0.4891712,0.4811243,0.351955,4
0.5611262,0.6058791,0.6009262,0.4795125,0.581987,0.4846371,0.4556594,0.5517961,0.4891712,0.4811243,0.351955,4
0.5611262,0.6058791,0.6009262,0.4795125,0.581987,0.4551509,0.4556594,0.5517961,0.4891712,0.4811243,0.351955,4
0.5611262,0.6058791,0.6009262,0.4795125,0.581987,0.4991722,0.4556594,0.5517961,0.4891712,0.4811243,0.351955,4
0.5611262,0.6058791,0.6009262,0.4795125,0.581987,0.5526404,0.4556594,0.5517961,0.4891712,0.4811243,0.3652806,4
0.5611262,0.6058791,0.6009262,0.4795125,0.581987,0.5566289,0.4556594,0.5517961,0.4891712,0.4811243,0.351955,4
0.5611262,0.6058791,0.6009262,0.4810597,0.581987,0.5586056,0.4556594,0.5517961,0.4891712,0.4811243,0.4506992,4
0.5611262,0.6058791,0.6009262,0.4795125,0.581987,0.5115184,0.4556594,0.5517961,0.4891712,0.4811243,0.351955,4
0.5611262,0.6058791,0.6009262,0.4795125,0.581987,0.4551509,0.4556594,0.5517961,0.4891712,0.4811243,0.4506992,4
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
